        z       Tref      rho    expan        Cp      Tcond
 LAYER:            1
  9.140625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.145833E+04  1.000000E+00
  9.062500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.250000E+04  1.000000E+00
  8.984375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.354167E+04  1.000000E+00
  8.906250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.458333E+04  1.000000E+00
  8.828125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.562500E+04  1.000000E+00
  8.750000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.666667E+04  1.000000E+00
  8.671875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.770833E+04  1.000000E+00
  8.593750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.875000E+04  1.000000E+00
  8.515625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  1.979167E+04  1.000000E+00
  8.437500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  2.083333E+04  1.000000E+00
  8.359375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  2.187500E+04  1.000000E+00
  8.281250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  2.291667E+04  1.000000E+00
  8.203125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  2.395833E+04  1.000000E+00
  8.125000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  2.500000E+04  1.000000E+00
  8.046875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  2.604167E+04  1.000000E+00
  7.968750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  2.708333E+04  1.000000E+00
  7.890625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  2.812500E+04  1.000000E+00
  7.812500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  2.916667E+04  1.000000E+00
  7.734375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  3.020833E+04  1.000000E+00
  7.656250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  3.125000E+04  1.000000E+00
  7.578125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  3.229167E+04  1.000000E+00
  7.500000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  3.333333E+04  1.000000E+00
  7.421875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  3.437500E+04  1.000000E+00
  7.343750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  3.541667E+04  1.000000E+00
  7.265625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  3.645833E+04  1.000000E+00
  7.187500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  3.750000E+04  1.000000E+00
  7.109375E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  3.854167E+04  1.000000E+00
  7.031250E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  3.958333E+04  1.000000E+00
  6.953125E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  4.062500E+04  1.000000E+00
  6.875000E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  4.166667E+04  1.000000E+00
  6.796875E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  4.270833E+04  1.000000E+00
  6.718750E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  4.375000E+04  1.000000E+00
  6.640625E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  4.479167E+04  1.000000E+00
  6.562500E-01  5.000000E-01  1.000000E+00  1.000000E+00  1.000000E+00  1.000000E+00  4.583333E+04  1.000000E+00
